City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Jijiga,ET,9.35,42.8,59.76,77,69,17.85,broken clouds
313,Sangar,RU,63.9242,127.4739,76.91,45,23,9.62,few clouds
314,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,75.07,51,10,1.97,clear sky
315,Opuwo,NA,-18.0607,13.84,58.08,37,0,3.6,clear sky
316,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,94,20,2.98,few clouds
317,Sorland,NO,67.667,12.6934,53.31,75,77,11.3,broken clouds
318,Vilyuysk,RU,63.7553,121.6247,77.7,51,9,7.7,clear sky
319,Westport,US,41.1415,-73.3579,80.64,77,0,6.91,clear sky
320,Mana,GF,5.6592,-53.7767,76.95,90,100,7.85,overcast clouds
321,Hiriyur,IN,13.9456,76.6192,74.82,76,89,16.33,overcast clouds
322,Santa Maria,BR,-29.6842,-53.8069,63.7,100,20,4.61,mist
323,College,US,64.8569,-147.8028,62.6,49,89,2.46,overcast clouds
324,Jackson,US,42.4165,-122.8345,84.07,34,0,9.22,clear sky
325,Boueni,YT,-12.9025,45.0761,75.18,68,6,14.67,clear sky
326,Bandar-E Lengeh,IR,26.5579,54.8807,91.09,75,78,14.16,broken clouds
327,Chitral,PK,35.8462,71.7858,79.02,69,73,2.84,broken clouds
328,Erdenet,MN,49.0333,104.0833,54.03,86,100,2.86,overcast clouds
329,Tabou,CI,4.423,-7.3528,74.77,75,96,5.64,overcast clouds
330,Drabiv,UA,49.963,32.1529,63.12,77,0,1.41,clear sky
331,Hami,CN,42.8,93.45,95.58,14,7,5.08,clear sky
332,Shipitsyno,RU,61.2806,46.5208,67.71,72,43,6.55,scattered clouds
333,Dunda,TZ,-8.1167,34.25,54.57,89,3,1.97,clear sky
334,Evensk,RU,61.95,159.2333,62.31,48,3,8.79,clear sky
335,Vilhena,BR,-12.7406,-60.1458,68.32,49,0,3.31,clear sky
336,Norsup,VU,-16.0667,167.3833,82.63,72,11,8.01,few clouds
337,Zhuhai,CN,22.2769,113.5678,91.72,58,0,6.31,clear sky
